plantid,dateobservation,longueur,largeur,note
MMA2046,2017-07-15,88.51,174.54,Condition normale pour la saison.
MMA2046,2017-08-15,117.83,149.89,Condition normale pour la saison.
MMA2046,2017-09-15,116.31,58.85,Condition normale pour la saison.
MMA2046,2017-10-15,169.34,168.39,Rien à signaler.
MMA2048,2017-05-15,133.08,79.32,Condition normale pour la saison.
MMA2048,2017-06-15,141.17,53.45,Condition normale pour la saison.
MMA2048,2017-07-15,59.42,60.46,Condition normale pour la saison.
MMA2048,2017-08-15,70.31,159.06,Légère variabilité observée.
MMA2048,2017-09-15,176.87,193.75,Rien à signaler.
MMA2048,2017-10-15,162.95,152.19,Rien à signaler.
MMA2050,2017-05-15,107.41,86.48,Rien à signaler.
MMA2050,2017-06-15,122.78,66.44,Légère variabilité observée.
MMA2050,2017-07-15,89.04,51.03,Rien à signaler.
MMA2050,2017-08-15,185.42,74.68,Condition normale pour la saison.
MMA2050,2017-09-15,66.36,92.25,Condition normale pour la saison.
MMA2050,2017-10-15,166.43,190.66,Condition normale pour la saison.
MMA2052,2017-05-15,154.33,85.28,Condition normale pour la saison.
MMA2052,2017-06-15,180.27,96.19,Condition normale pour la saison.
MMA2052,2017-07-15,132.74,167.42,Condition normale pour la saison.
MMA2052,2017-08-15,109.00,188.57,Condition normale pour la saison.
MMA2052,2017-09-15,195.81,143.35,Condition normale pour la saison.
MMA2052,2017-10-15,124.96,84.01,Légère variabilité observée.
MMA2054,2017-05-15,105.42,113.88,Condition normale pour la saison.
MMA2054,2017-06-15,143.13,90.69,Rien à signaler.
MMA2054,2017-07-15,181.50,125.21,Rien à signaler.
MMA2054,2017-08-15,119.83,190.89,Condition normale pour la saison.
MMA2054,2017-09-15,58.73,121.61,Condition normale pour la saison.
MMA2054,2017-10-15,111.13,163.91,Condition normale pour la saison.
MMA2056,2017-05-15,136.41,180.35,Condition normale pour la saison.
MMA2056,2017-06-15,163.48,149.09,Condition normale pour la saison.
MMA2056,2017-07-15,122.43,151.69,Condition normale pour la saison.
MMA2056,2017-08-15,52.06,197.11,Rien à signaler.
MMA2056,2017-09-15,72.38,177.99,Condition normale pour la saison.
MMA2056,2017-10-15,192.44,89.96,Condition normale pour la saison.
MMA2058,2017-05-15,74.82,156.14,Condition normale pour la saison.
MMA2058,2017-06-15,165.67,106.34,Condition normale pour la saison.
MMA2058,2017-07-15,54.99,108.79,Rien à signaler.
MMA2058,2017-08-15,58.15,182.20,Condition normale pour la saison.
MMA2058,2017-09-15,61.16,149.50,Condition normale pour la saison.
MMA2058,2017-10-15,82.96,184.17,Rien à signaler.
MMA2060,2017-05-15,181.57,116.64,Condition normale pour la saison.
MMA2060,2017-06-15,155.01,130.37,Condition normale pour la saison.
MMA2060,2017-07-15,101.87,161.72,Rien à signaler.
MMA2060,2017-08-15,62.90,157.12,Condition normale pour la saison.
MMA2060,2017-09-15,98.36,124.62,Rien à signaler.
MMA2060,2017-10-15,105.94,168.92,Condition normale pour la saison.
MMA2062,2017-05-15,102.16,50.28,Rien à signaler.
MMA2062,2017-06-15,149.99,157.16,Rien à signaler.
MMA2062,2017-07-15,134.66,181.94,Légère variabilité observée.
MMA2062,2017-08-15,143.61,115.64,Condition normale pour la saison.
MMA2062,2017-09-15,117.25,91.66,Légère variabilité observée.
MMA2062,2017-10-15,103.81,108.53,Légère variabilité observée.
MMA2064,2017-05-15,148.65,147.98,Rien à signaler.
MMA2064,2017-06-15,195.06,113.09,Légère variabilité observée.
MMA2064,2017-07-15,171.18,141.57,Rien à signaler.
MMA2064,2017-08-15,107.50,162.55,Condition normale pour la saison.
MMA2064,2017-09-15,84.39,147.87,Condition normale pour la saison.
MMA2064,2017-10-15,141.36,168.38,Condition normale pour la saison.
MMA2066,2017-05-15,171.98,98.44,Légère variabilité observée.
MMA2066,2017-06-15,116.14,191.01,Condition normale pour la saison.
MMA2066,2017-07-15,99.99,134.93,Condition normale pour la saison.
MMA2066,2017-08-15,117.74,161.70,Légère variabilité observée.
MMA2066,2017-09-15,136.97,69.04,Condition normale pour la saison.
MMA2066,2017-10-15,72.67,125.37,Condition normale pour la saison.
MMA2068,2017-05-15,92.67,148.86,Condition normale pour la saison.
MMA2068,2017-06-15,193.80,150.70,Condition normale pour la saison.
MMA2068,2017-07-15,182.12,195.89,Condition normale pour la saison.
MMA2068,2017-08-15,84.90,107.13,Condition normale pour la saison.
MMA2068,2017-09-15,72.18,135.75,Condition normale pour la saison.
MMA2068,2017-10-15,67.42,73.23,Condition normale pour la saison.
MMA2070,2017-05-15,199.51,102.18,Rien à signaler.
MMA2070,2017-06-15,57.60,113.28,Rien à signaler.
MMA2070,2017-07-15,162.79,87.36,Condition normale pour la saison.
MMA2070,2017-08-15,64.29,76.75,Légère variabilité observée.
MMA2070,2017-09-15,157.61,89.78,Légère variabilité observée.
MMA2070,2017-10-15,120.38,130.34,Rien à signaler.
MMA2072,2017-05-15,189.18,72.62,Condition normale pour la saison.
MMA2072,2017-06-15,166.57,99.20,Condition normale pour la saison.
MMA2072,2017-07-15,88.21,56.75,Légère variabilité observée.
MMA2072,2017-08-15,193.21,99.72,Condition normale pour la saison.
MMA2072,2017-09-15,116.00,198.88,Condition normale pour la saison.
MMA2072,2017-10-15,80.81,147.93,Condition normale pour la saison.
MMA2074,2017-05-15,68.58,157.81,Légère variabilité observée.
MMA2074,2017-06-15,146.84,177.00,Condition normale pour la saison.
MMA2074,2017-07-15,151.37,106.06,Condition normale pour la saison.
MMA2074,2017-08-15,140.56,60.51,Condition normale pour la saison.
MMA2074,2017-09-15,188.81,184.75,Rien à signaler.
MMA2074,2017-10-15,168.00,199.04,Légère variabilité observée.
MMA2076,2017-05-15,68.99,101.83,Condition normale pour la saison.
MMA2076,2017-06-15,116.67,189.67,Condition normale pour la saison.
MMA2076,2017-07-15,184.92,50.19,Condition normale pour la saison.
MMA2076,2017-08-15,110.68,90.23,Légère variabilité observée.
MMA2076,2017-09-15,123.93,185.20,Condition normale pour la saison.
MMA2076,2017-10-15,124.54,116.00,Condition normale pour la saison.
MMA2078,2017-05-15,101.02,176.08,Condition normale pour la saison.
MMA2078,2017-06-15,155.07,113.22,Condition normale pour la saison.
MMA2078,2017-07-15,176.17,77.15,Rien à signaler.
MMA2078,2017-08-15,121.19,104.50,Condition normale pour la saison.
MMA2078,2017-09-15,94.56,82.83,Rien à signaler.
MMA2078,2017-10-15,148.92,102.69,Légère variabilité observée.
MMA2080,2017-05-15,110.65,55.89,Légère variabilité observée.
MMA2080,2017-06-15,77.23,144.39,Rien à signaler.
MMA2080,2017-07-15,151.31,186.32,Rien à signaler.
MMA2080,2017-08-15,184.94,74.52,Légère variabilité observée.
MMA2080,2017-09-15,160.95,133.23,Rien à signaler.
MMA2080,2017-10-15,187.65,73.92,Rien à signaler.
MMA2082,2017-05-15,86.62,190.31,Condition normale pour la saison.
MMA2082,2017-06-15,195.67,178.81,Légère variabilité observée.
MMA2082,2017-07-15,183.93,84.74,Légère variabilité observée.
MMA2082,2017-08-15,160.13,184.66,Condition normale pour la saison.
MMA2082,2017-09-15,163.63,66.51,Légère variabilité observée.
MMA2082,2017-10-15,57.36,192.50,Légère variabilité observée.
MMA2084,2017-05-15,164.25,124.09,Condition normale pour la saison.
MMA2084,2017-06-15,188.63,158.62,Condition normale pour la saison.
MMA2084,2017-07-15,107.60,106.77,Légère variabilité observée.
MMA2084,2017-08-15,131.33,151.34,Rien à signaler.
MMA2084,2017-09-15,75.47,145.29,Légère variabilité observée.
MMA2084,2017-10-15,124.73,196.34,Légère variabilité observée.
MMA2086,2017-05-15,154.47,65.92,Condition normale pour la saison.
MMA2086,2017-06-15,98.94,104.22,Condition normale pour la saison.
MMA2086,2017-07-15,123.99,90.97,Condition normale pour la saison.
MMA2086,2017-08-15,174.85,191.08,Condition normale pour la saison.
MMA2086,2017-09-15,144.87,98.56,Légère variabilité observée.
MMA2086,2017-10-15,93.16,105.28,Rien à signaler.
MMA2088,2017-05-15,146.67,156.90,Condition normale pour la saison.
MMA2088,2017-06-15,199.34,171.67,Légère variabilité observée.
MMA2088,2017-07-15,197.70,60.40,Légère variabilité observée.
MMA2088,2017-08-15,148.49,106.88,Légère variabilité observée.
MMA2088,2017-09-15,67.31,78.13,Légère variabilité observée.
MMA2088,2017-10-15,177.21,62.84,Condition normale pour la saison.
MMA2090,2017-05-15,157.04,185.00,Légère variabilité observée.
MMA2090,2017-06-15,66.64,156.08,Condition normale pour la saison.
MMA2090,2017-07-15,160.19,144.11,Condition normale pour la saison.
MMA2090,2017-08-15,126.80,80.71,Condition normale pour la saison.
MMA2090,2017-09-15,112.50,87.95,Condition normale pour la saison.
MMA2090,2017-10-15,77.60,195.61,Condition normale pour la saison.
MMA2092,2017-05-15,167.67,149.40,Légère variabilité observée.
MMA2092,2017-06-15,191.85,71.75,Condition normale pour la saison.
MMA2092,2017-07-15,156.63,133.08,Condition normale pour la saison.
MMA2092,2017-08-15,66.49,102.37,Condition normale pour la saison.
MMA2092,2017-09-15,60.61,103.74,Condition normale pour la saison.
MMA2092,2017-10-15,79.56,67.98,Condition normale pour la saison.
MMA2094,2017-05-15,156.28,175.63,Condition normale pour la saison.
MMA2094,2017-06-15,60.46,114.88,Légère variabilité observée.
MMA2094,2017-07-15,117.07,112.68,Rien à signaler.
MMA2094,2017-08-15,50.54,116.20,Légère variabilité observée.
MMA2094,2017-09-15,80.18,155.13,Condition normale pour la saison.
MMA2094,2017-10-15,190.85,127.48,Condition normale pour la saison.
MMA2096,2017-05-15,114.56,64.13,Légère variabilité observée.
MMA2096,2017-06-15,60.32,114.94,Condition normale pour la saison.
MMA2096,2017-07-15,123.81,128.38,Rien à signaler.
MMA2096,2017-08-15,99.97,93.62,Rien à signaler.
MMA2096,2017-09-15,156.86,176.53,Condition normale pour la saison.
MMA2096,2017-10-15,113.97,100.83,Rien à signaler.
MMA2098,2017-05-15,159.46,152.34,Rien à signaler.
MMA2098,2017-06-15,146.12,147.03,Condition normale pour la saison.
MMA2098,2017-07-15,149.02,180.26,Condition normale pour la saison.
MMA2098,2017-08-15,58.27,153.31,Rien à signaler.
MMA2098,2017-09-15,126.62,182.99,Rien à signaler.
MMA2098,2017-10-15,108.45,128.52,Rien à signaler.
MMA2100,2017-05-15,146.20,130.17,Légère variabilité observée.
MMA2100,2017-06-15,134.58,160.26,Condition normale pour la saison.
MMA2100,2017-07-15,95.56,119.41,Condition normale pour la saison.
MMA2100,2017-08-15,56.33,148.84,Condition normale pour la saison.
MMA2100,2017-09-15,162.80,131.15,Rien à signaler.
MMA2100,2017-10-15,147.15,163.60,Légère variabilité observée.
MMA3002,2017-05-15,122.05,104.10,Condition normale pour la saison.
MMA3002,2017-06-15,115.21,50.07,Condition normale pour la saison.
MMA3002,2017-07-15,60.00,105.37,Condition normale pour la saison.
MMA3002,2017-08-15,60.73,185.33,Légère variabilité observée.
MMA3002,2017-09-15,97.13,138.66,Légère variabilité observée.
MMA3002,2017-10-15,145.05,52.97,Condition normale pour la saison.
MMA3004,2017-05-15,163.42,192.60,Condition normale pour la saison.
MMA3004,2017-06-15,163.80,143.96,Condition normale pour la saison.
MMA3004,2017-07-15,178.40,132.82,Rien à signaler.
MMA3004,2017-08-15,184.67,94.74,Condition normale pour la saison.
MMA3004,2017-09-15,148.42,192.44,Condition normale pour la saison.
MMA3004,2017-10-15,104.72,161.79,Rien à signaler.
MMA3006,2017-05-15,71.31,187.88,Condition normale pour la saison.
MMA3006,2017-06-15,162.72,116.87,Rien à signaler.
MMA3006,2017-07-15,123.01,79.98,Légère variabilité observée.
MMA3006,2017-08-15,101.73,145.80,Rien à signaler.
MMA3006,2017-09-15,102.67,101.68,Condition normale pour la saison.
MMA3006,2017-10-15,88.46,164.86,Rien à signaler.
MMA3008,2017-05-15,112.85,62.90,Rien à signaler.
MMA3008,2017-06-15,122.10,69.53,Condition normale pour la saison.
MMA3008,2017-07-15,91.61,153.63,Rien à signaler.
MMA3008,2017-08-15,60.81,107.26,Condition normale pour la saison.
MMA3008,2017-09-15,166.48,193.51,Condition normale pour la saison.
MMA3008,2017-10-15,108.19,177.28,Rien à signaler.
MMA3010,2017-05-15,187.51,131.10,Rien à signaler.
MMA3010,2017-06-15,152.95,100.96,Condition normale pour la saison.
MMA3010,2017-07-15,75.54,195.00,Légère variabilité observée.
MMA3010,2017-08-15,105.05,135.98,Légère variabilité observée.
MMA3010,2017-09-15,92.37,117.30,Condition normale pour la saison.
MMA3010,2017-10-15,161.92,97.46,Condition normale pour la saison.
MMA3012,2017-05-15,111.07,145.81,Condition normale pour la saison.
MMA3012,2017-06-15,122.96,62.55,Rien à signaler.
MMA3012,2017-07-15,147.62,56.05,Légère variabilité observée.
MMA3012,2017-08-15,74.34,153.69,Légère variabilité observée.
MMA3012,2017-09-15,188.09,160.90,Condition normale pour la saison.
MMA3012,2017-10-15,61.28,163.27,Rien à signaler.
MMA3014,2017-05-15,176.70,117.91,Légère variabilité observée.
MMA3014,2017-06-15,104.39,93.97,Condition normale pour la saison.
MMA3014,2017-07-15,176.94,94.31,Condition normale pour la saison.
MMA3014,2017-08-15,133.30,119.96,Rien à signaler.
MMA3014,2017-09-15,115.43,59.35,Condition normale pour la saison.
MMA3014,2017-10-15,196.84,64.62,Condition normale pour la saison.
MMA3016,2017-05-15,173.26,175.69,Condition normale pour la saison.
MMA3016,2017-06-15,97.43,185.38,Condition normale pour la saison.
MMA3016,2017-07-15,70.96,179.01,Rien à signaler.
MMA3016,2017-08-15,75.59,50.87,Condition normale pour la saison.
MMA3016,2017-09-15,100.18,106.40,Condition normale pour la saison.
MMA3016,2017-10-15,61.67,156.15,Légère variabilité observée.
MMA3018,2017-05-15,56.72,170.92,Condition normale pour la saison.
MMA3018,2017-06-15,196.29,146.94,Condition normale pour la saison.
MMA3018,2017-07-15,165.88,108.81,Condition normale pour la saison.
MMA3018,2017-08-15,76.57,172.27,Condition normale pour la saison.
MMA3018,2017-09-15,85.80,187.15,Rien à signaler.
MMA3018,2017-10-15,143.49,167.57,Condition normale pour la saison.
MMA3020,2017-05-15,187.43,89.14,Condition normale pour la saison.
MMA3020,2017-06-15,50.42,86.18,Condition normale pour la saison.
MMA3020,2017-07-15,135.24,117.33,Condition normale pour la saison.
MMA3020,2017-08-15,53.64,113.49,Légère variabilité observée.
MMA3020,2017-09-15,176.02,103.38,Condition normale pour la saison.
MMA3020,2017-10-15,87.76,111.84,Condition normale pour la saison.
MMA3022,2017-05-15,132.96,154.01,Condition normale pour la saison.
MMA3022,2017-06-15,100.96,144.73,Légère variabilité observée.
MMA3022,2017-07-15,53.41,194.93,Condition normale pour la saison.
MMA3022,2017-08-15,169.00,179.83,Condition normale pour la saison.
MMA3022,2017-09-15,105.43,178.28,Condition normale pour la saison.
MMA3022,2017-10-15,112.64,102.04,Légère variabilité observée.
MMA3024,2017-05-15,50.30,74.18,Rien à signaler.
MMA3024,2017-06-15,182.04,196.64,Légère variabilité observée.
MMA3024,2017-07-15,153.66,93.50,Légère variabilité observée.
MMA3024,2017-08-15,164.47,88.76,Légère variabilité observée.
MMA3024,2017-09-15,74.46,60.33,Condition normale pour la saison.
MMA3024,2017-10-15,72.83,150.21,Condition normale pour la saison.
MMA3026,2017-05-15,68.95,85.84,Condition normale pour la saison.
MMA3026,2017-06-15,169.56,133.69,Condition normale pour la saison.
MMA3026,2017-07-15,82.59,155.32,Condition normale pour la saison.
MMA3026,2017-08-15,106.05,68.05,Condition normale pour la saison.
MMA3026,2017-09-15,144.67,150.64,Condition normale pour la saison.
MMA3026,2017-10-15,110.73,157.86,Condition normale pour la saison.
MMA3028,2017-05-15,172.56,194.75,Condition normale pour la saison.
MMA3028,2017-06-15,109.11,64.26,Légère variabilité observée.
MMA3028,2017-07-15,146.60,104.41,Condition normale pour la saison.
MMA3028,2017-08-15,137.77,52.32,Condition normale pour la saison.
MMA3028,2017-09-15,59.36,79.58,Légère variabilité observée.
MMA3028,2017-10-15,54.27,74.39,Condition normale pour la saison.
MMA3030,2017-05-15,192.79,103.62,Condition normale pour la saison.
MMA3030,2017-06-15,178.64,170.12,Condition normale pour la saison.
MMA3030,2017-07-15,89.03,51.53,Rien à signaler.
MMA3030,2017-08-15,120.38,71.19,Condition normale pour la saison.
MMA3030,2017-09-15,173.72,142.24,Condition normale pour la saison.
MMA3030,2017-10-15,100.40,181.58,Légère variabilité observée.
MMA3032,2017-05-15,156.41,141.11,Condition normale pour la saison.
MMA3032,2017-06-15,135.84,147.65,Condition normale pour la saison.
MMA3032,2017-07-15,170.19,110.61,Rien à signaler.
MMA3032,2017-08-15,157.63,110.13,Condition normale pour la saison.
MMA3032,2017-09-15,199.94,168.66,Légère variabilité observée.
MMA3032,2017-10-15,66.65,101.22,Légère variabilité observée.
MMA3034,2017-05-15,163.37,68.50,Rien à signaler.
MMA3034,2017-06-15,168.80,188.01,Condition normale pour la saison.
MMA3034,2017-07-15,173.37,136.57,Rien à signaler.
MMA3034,2017-08-15,187.35,156.89,Légère variabilité observée.
MMA3034,2017-09-15,181.09,54.00,Condition normale pour la saison.
MMA3034,2017-10-15,118.74,126.08,Légère variabilité observée.
MMA3036,2017-05-15,170.31,113.42,Légère variabilité observée.
MMA3036,2017-06-15,199.16,74.09,Rien à signaler.
MMA3036,2017-07-15,111.21,86.73,Condition normale pour la saison.
MMA3036,2017-08-15,89.91,188.48,Rien à signaler.
MMA3036,2017-09-15,79.17,177.00,Légère variabilité observée.
MMA3036,2017-10-15,117.46,113.18,Légère variabilité observée.
MMA3038,2017-05-15,117.98,185.27,Condition normale pour la saison.
MMA3038,2017-06-15,178.80,85.31,Condition normale pour la saison.
MMA3038,2017-07-15,122.58,130.29,Rien à signaler.
MMA3038,2017-08-15,162.01,128.28,Légère variabilité observée.
MMA3038,2017-09-15,133.19,172.66,Condition normale pour la saison.
MMA3038,2017-10-15,51.40,181.66,Légère variabilité observée.
MMA3040,2017-05-15,52.39,97.25,Légère variabilité observée.
MMA3040,2017-06-15,98.05,145.24,Condition normale pour la saison.
MMA3040,2017-07-15,80.36,167.93,Rien à signaler.
MMA3040,2017-08-15,102.47,104.75,Condition normale pour la saison.
MMA3040,2017-09-15,79.08,109.42,Rien à signaler.
MMA3040,2017-10-15,145.49,52.51,Condition normale pour la saison.
MMA3042,2017-05-15,110.43,175.52,Condition normale pour la saison.
MMA3042,2017-06-15,54.26,92.37,Condition normale pour la saison.
MMA3042,2017-07-15,169.45,180.14,Rien à signaler.
MMA3042,2017-08-15,167.03,120.67,Légère variabilité observée.
MMA3042,2017-09-15,50.57,189.31,Légère variabilité observée.
MMA3042,2017-10-15,114.29,123.14,Rien à signaler.
MMA3044,2017-05-15,98.17,164.97,Légère variabilité observée.
MMA3044,2017-06-15,84.47,67.02,Rien à signaler.
MMA3044,2017-07-15,196.20,178.18,Rien à signaler.
MMA3044,2017-08-15,113.60,187.14,Condition normale pour la saison.
MMA3044,2017-09-15,185.24,145.47,Condition normale pour la saison.
MMA3044,2017-10-15,130.37,140.96,Condition normale pour la saison.
MMA3046,2017-05-15,76.91,57.12,Condition normale pour la saison.
MMA3046,2017-06-15,98.25,100.81,Rien à signaler.
MMA3046,2017-07-15,136.22,124.58,Légère variabilité observée.
MMA3046,2017-08-15,97.27,155.17,Légère variabilité observée.
MMA3046,2017-09-15,193.62,115.25,Condition normale pour la saison.
MMA3046,2017-10-15,96.85,118.45,Condition normale pour la saison.
MMA3048,2017-05-15,86.00,77.57,Rien à signaler.
MMA3048,2017-06-15,110.67,194.94,Condition normale pour la saison.
MMA3048,2017-07-15,53.02,167.54,Condition normale pour la saison.
MMA3048,2017-08-15,59.39,99.84,Rien à signaler.
MMA3048,2017-09-15,71.46,101.15,Condition normale pour la saison.
MMA3048,2017-10-15,111.99,123.32,Légère variabilité observée.
MMA3050,2017-05-15,157.33,81.19,Condition normale pour la saison.
MMA3050,2017-06-15,144.77,194.08,Rien à signaler.
MMA3050,2017-07-15,184.37,183.82,Condition normale pour la saison.
MMA3050,2017-08-15,112.87,164.87,Légère variabilité observée.
MMA3050,2017-09-15,147.08,172.65,Condition normale pour la saison.
MMA3050,2017-10-15,186.09,99.56,Condition normale pour la saison.
MMA3052,2017-05-15,197.65,148.10,Légère variabilité observée.
MMA3052,2017-06-15,55.95,133.21,Légère variabilité observée.
MMA3052,2017-07-15,56.36,142.76,Condition normale pour la saison.
MMA3052,2017-08-15,126.60,63.93,Condition normale pour la saison.
MMA3052,2017-09-15,179.94,92.04,Légère variabilité observée.
MMA3052,2017-10-15,103.06,85.30,Légère variabilité observée.
MMA3054,2017-05-15,59.03,199.84,Condition normale pour la saison.
MMA3054,2017-06-15,52.74,177.91,Rien à signaler.
MMA3054,2017-07-15,95.44,158.00,Condition normale pour la saison.
MMA3054,2017-08-15,168.47,146.91,Condition normale pour la saison.
MMA3054,2017-09-15,178.79,162.18,Condition normale pour la saison.
MMA3054,2017-10-15,134.73,123.87,Condition normale pour la saison.
MMA3056,2017-05-15,58.37,119.16,Légère variabilité observée.
MMA3056,2017-06-15,190.28,179.68,Condition normale pour la saison.
MMA3056,2017-07-15,143.03,179.30,Rien à signaler.
MMA3056,2017-08-15,54.05,57.59,Condition normale pour la saison.
MMA3056,2017-09-15,61.78,114.64,Rien à signaler.
MMA3056,2017-10-15,198.00,67.95,Condition normale pour la saison.
MMA3058,2017-05-15,133.16,110.19,Rien à signaler.
MMA3058,2017-06-15,82.61,129.84,Rien à signaler.
MMA3058,2017-07-15,125.00,88.87,Légère variabilité observée.
MMA3058,2017-08-15,180.55,141.36,Légère variabilité observée.
MMA3058,2017-09-15,118.66,199.81,Rien à signaler.
MMA3058,2017-10-15,139.13,130.16,Condition normale pour la saison.
MMA3060,2017-05-15,197.20,55.85,Légère variabilité observée.
MMA3060,2017-06-15,163.55,98.17,Condition normale pour la saison.
MMA3060,2017-07-15,194.65,117.98,Condition normale pour la saison.
MMA3060,2017-08-15,96.07,94.09,Condition normale pour la saison.
MMA3060,2017-09-15,162.72,78.82,Légère variabilité observée.
MMA3060,2017-10-15,153.69,160.10,Condition normale pour la saison.
MMA3062,2017-05-15,75.89,79.25,Condition normale pour la saison.
MMA3062,2017-06-15,148.09,88.95,Légère variabilité observée.
MMA3062,2017-07-15,194.54,133.64,Rien à signaler.
MMA3062,2017-08-15,152.84,50.14,Condition normale pour la saison.
MMA3062,2017-09-15,192.90,197.50,Condition normale pour la saison.
MMA3062,2017-10-15,163.02,71.46,Condition normale pour la saison.
MMA3064,2017-05-15,127.43,179.08,Légère variabilité observée.
MMA3064,2017-06-15,88.85,64.21,Condition normale pour la saison.
MMA3064,2017-07-15,181.90,75.78,Condition normale pour la saison.
MMA3064,2017-08-15,72.82,91.28,Condition normale pour la saison.
MMA3064,2017-09-15,123.61,101.86,Condition normale pour la saison.
MMA3064,2017-10-15,189.34,138.10,Rien à signaler.
MMA3066,2017-05-15,78.27,176.30,Rien à signaler.
MMA3066,2017-06-15,120.73,183.66,Condition normale pour la saison.
MMA3066,2017-07-15,155.56,125.63,Légère variabilité observée.
MMA3066,2017-08-15,186.51,51.72,Condition normale pour la saison.
MMA3066,2017-09-15,126.00,147.12,Légère variabilité observée.
MMA3066,2017-10-15,159.68,150.77,Condition normale pour la saison.
MMA3068,2017-05-15,146.20,139.53,Légère variabilité observée.
MMA3068,2017-06-15,136.55,147.35,Condition normale pour la saison.
MMA3068,2017-07-15,94.34,182.76,Légère variabilité observée.
MMA3068,2017-08-15,160.78,93.26,Légère variabilité observée.
MMA3068,2017-09-15,112.44,109.17,Rien à signaler.
MMA3068,2017-10-15,81.98,161.20,Condition normale pour la saison.
MMA3070,2017-05-15,59.98,179.59,Condition normale pour la saison.
MMA3070,2017-06-15,61.64,169.75,Rien à signaler.
MMA3070,2017-07-15,117.16,61.61,Rien à signaler.
MMA3070,2017-08-15,199.29,73.63,Légère variabilité observée.
MMA3070,2017-09-15,129.74,157.34,Légère variabilité observée.
MMA3070,2017-10-15,164.38,65.81,Condition normale pour la saison.
MMA3072,2017-05-15,97.30,148.76,Condition normale pour la saison.
MMA3072,2017-06-15,107.91,62.88,Condition normale pour la saison.
MMA3072,2017-07-15,160.51,135.40,Légère variabilité observée.
MMA3072,2017-08-15,148.28,115.89,Rien à signaler.
MMA3072,2017-09-15,188.02,130.11,Légère variabilité observée.
MMA3072,2017-10-15,52.37,175.15,Rien à signaler.
MMA3074,2017-05-15,171.73,75.70,Condition normale pour la saison.
MMA3074,2017-06-15,179.42,148.22,Condition normale pour la saison.
MMA3074,2017-07-15,57.84,93.26,Condition normale pour la saison.
MMA3074,2017-08-15,155.69,140.37,Rien à signaler.
MMA3074,2017-09-15,177.65,174.16,Condition normale pour la saison.
MMA3074,2017-10-15,170.21,64.83,Condition normale pour la saison.
MMA3076,2017-05-15,148.54,161.68,Condition normale pour la saison.
MMA3076,2017-06-15,67.68,75.13,Condition normale pour la saison.
MMA3076,2017-07-15,88.53,187.90,Légère variabilité observée.
MMA3076,2017-08-15,174.85,189.50,Légère variabilité observée.
MMA3076,2017-09-15,132.62,160.36,Légère variabilité observée.
MMA3076,2017-10-15,89.23,51.80,Condition normale pour la saison.
MMA3078,2017-05-15,92.55,199.18,Condition normale pour la saison.
MMA3078,2017-06-15,178.80,154.41,Rien à signaler.
MMA3078,2017-07-15,57.70,114.51,Légère variabilité observée.
MMA3078,2017-08-15,122.33,102.95,Légère variabilité observée.
MMA3078,2017-09-15,65.66,158.04,Rien à signaler.
MMA3078,2017-10-15,87.70,95.87,Condition normale pour la saison.
MMA3080,2017-05-15,181.90,90.05,Condition normale pour la saison.
MMA3080,2017-06-15,75.83,128.94,Condition normale pour la saison.
MMA3080,2017-07-15,164.96,172.75,Rien à signaler.
MMA3080,2017-08-15,140.31,192.50,Condition normale pour la saison.
MMA3080,2017-09-15,187.57,52.02,Condition normale pour la saison.
MMA3080,2017-10-15,55.40,138.24,Condition normale pour la saison.
MMA3082,2017-05-15,132.15,157.96,Condition normale pour la saison.
MMA3082,2017-06-15,99.26,159.70,Condition normale pour la saison.
MMA3082,2017-07-15,71.68,68.72,Condition normale pour la saison.
MMA3082,2017-08-15,76.74,180.99,Rien à signaler.
MMA3082,2017-09-15,110.08,191.70,Condition normale pour la saison.
MMA3082,2017-10-15,136.43,185.21,Condition normale pour la saison.
MMA3084,2017-05-15,162.28,156.59,Légère variabilité observée.
MMA3084,2017-06-15,129.52,138.36,Condition normale pour la saison.
MMA3084,2017-07-15,125.60,134.93,Légère variabilité observée.
MMA3084,2017-08-15,103.10,91.56,Condition normale pour la saison.
MMA3084,2017-09-15,127.16,78.46,Légère variabilité observée.
MMA3084,2017-10-15,75.91,136.43,Condition normale pour la saison.
MMA3086,2017-05-15,150.13,147.42,Condition normale pour la saison.
MMA3086,2017-06-15,78.76,89.39,Condition normale pour la saison.
MMA3086,2017-07-15,85.35,174.10,Légère variabilité observée.
MMA3086,2017-08-15,143.14,155.67,Condition normale pour la saison.
MMA3086,2017-09-15,90.63,97.06,Condition normale pour la saison.
MMA3086,2017-10-15,154.69,162.23,Rien à signaler.
MMA3088,2017-05-15,55.02,144.61,Condition normale pour la saison.
MMA3088,2017-06-15,90.15,164.88,Légère variabilité observée.
MMA3088,2017-07-15,192.50,158.78,Condition normale pour la saison.
MMA3088,2017-08-15,97.89,68.58,Condition normale pour la saison.
MMA3088,2017-09-15,60.11,124.70,Légère variabilité observée.
MMA3088,2017-10-15,96.84,62.01,Légère variabilité observée.
MMA3090,2017-05-15,105.99,82.99,Condition normale pour la saison.
MMA3090,2017-06-15,143.81,117.68,Condition normale pour la saison.
MMA3090,2017-07-15,133.41,118.73,Rien à signaler.
MMA3090,2017-08-15,56.70,172.47,Condition normale pour la saison.
