plantid,dateobservation,etat,note
MMB2037,2017-07-15,O,Condition normale pour la saison.
MMB2038,2017-07-15,O,Légère variabilité observée.
MMB2039,2017-07-15,O,Rien à signaler.
MMB2040,2017-07-15,O,Condition normale pour la saison.
MMB2041,2017-07-15,O,Légère variabilité observée.
MMB2042,2017-07-15,O,Condition normale pour la saison.
MMB2043,2017-07-15,O,Condition normale pour la saison.
MMB2044,2017-07-15,O,Condition normale pour la saison.
MMB2045,2017-07-15,O,Rien à signaler.
MMB2046,2017-07-15,O,Légère variabilité observée.
MMB2047,2017-07-15,O,Légère variabilité observée.
MMB2048,2017-07-15,O,Rien à signaler.
MMB2049,2017-07-15,O,Légère variabilité observée.
MMB2050,2017-07-15,O,Condition normale pour la saison.
MMB2051,2017-07-15,O,Condition normale pour la saison.
MMB2052,2017-07-15,O,Condition normale pour la saison.
MMB2053,2017-07-15,O,Condition normale pour la saison.
MMB2054,2017-07-15,O,Condition normale pour la saison.
MMB2055,2017-07-15,O,Légère variabilité observée.
MMB2056,2017-07-15,O,Rien à signaler.
MMB2057,2017-07-15,O,Rien à signaler.
MMB2058,2017-07-15,O,Rien à signaler.
MMB2059,2017-07-15,O,Légère variabilité observée.
MMB2060,2017-07-15,O,Condition normale pour la saison.
MMB2061,2017-07-15,O,Condition normale pour la saison.
MMB2062,2017-07-15,O,Condition normale pour la saison.
MMB2063,2017-07-15,O,Condition normale pour la saison.
MMB2064,2017-07-15,O,Rien à signaler.
MMB2065,2017-07-15,O,Condition normale pour la saison.
MMB2066,2017-07-15,O,Rien à signaler.
MMB2067,2017-07-15,O,Légère variabilité observée.
MMB2068,2017-07-15,O,Rien à signaler.
MMB2069,2017-07-15,O,Rien à signaler.
MMB2070,2017-07-15,O,Condition normale pour la saison.
MMB2071,2017-07-15,O,Rien à signaler.
MMB2072,2017-07-15,O,Rien à signaler.
MMB2073,2017-07-15,O,Légère variabilité observée.
MMB2074,2017-07-15,O,Condition normale pour la saison.
MMB2075,2017-07-15,O,Rien à signaler.
MMB2076,2017-07-15,O,Condition normale pour la saison.
MMB2077,2017-07-15,O,Rien à signaler.
MMB2078,2017-07-15,O,Légère variabilité observée.
MMB2079,2017-07-15,O,Rien à signaler.
MMB2080,2017-07-15,O,Rien à signaler.
MMB2081,2017-07-15,O,Condition normale pour la saison.
MMB2082,2017-07-15,O,Condition normale pour la saison.
MMB2083,2017-07-15,O,Rien à signaler.
MMB2084,2017-07-15,O,Légère variabilité observée.
MMB2085,2017-07-15,O,Condition normale pour la saison.
MMB2086,2017-07-15,O,Légère variabilité observée.
MMB2087,2017-07-15,O,Condition normale pour la saison.
MMB2088,2017-07-15,O,Rien à signaler.
MMB2089,2017-07-15,O,Rien à signaler.
MMB2090,2017-07-15,O,Condition normale pour la saison.
MMB2091,2017-07-15,O,Condition normale pour la saison.
MMB2092,2017-07-15,O,Condition normale pour la saison.
MMB2093,2017-07-15,O,Légère variabilité observée.
MMB2094,2017-07-15,O,Légère variabilité observée.
MMB2095,2017-07-15,O,Légère variabilité observée.
MMB2096,2017-07-15,O,Condition normale pour la saison.
MMB2097,2017-07-15,O,Légère variabilité observée.
MMB2098,2017-07-15,O,Légère variabilité observée.
MMB2099,2017-07-15,O,Légère variabilité observée.
MMB2100,2017-07-15,O,Condition normale pour la saison.
MMB3001,2017-07-15,O,Condition normale pour la saison.
MMB3002,2017-07-15,O,Condition normale pour la saison.
MMB3003,2017-07-15,O,Condition normale pour la saison.
MMB3004,2017-07-15,O,Condition normale pour la saison.
MMB3005,2017-07-15,O,Légère variabilité observée.
MMB3006,2017-07-15,O,Condition normale pour la saison.
MMB3007,2017-07-15,O,Légère variabilité observée.
MMB3008,2017-07-15,O,Légère variabilité observée.
MMB3009,2017-07-15,O,Condition normale pour la saison.
MMB3010,2017-07-15,O,Rien à signaler.
MMB3011,2017-07-15,O,Condition normale pour la saison.
MMB3012,2017-07-15,O,Rien à signaler.
MMB3013,2017-07-15,O,Légère variabilité observée.
MMB3014,2017-07-15,O,Condition normale pour la saison.
MMB3015,2017-07-15,O,Rien à signaler.
MMB3016,2017-07-15,O,Légère variabilité observée.
MMB3017,2017-07-15,O,Légère variabilité observée.
MMB3018,2017-07-15,O,Rien à signaler.
MMB3019,2017-07-15,O,Condition normale pour la saison.
MMB3020,2017-07-15,O,Rien à signaler.
MMB3021,2017-07-15,O,Légère variabilité observée.
MMB3022,2017-07-15,O,Légère variabilité observée.
MMB3023,2017-07-15,O,Rien à signaler.
MMB3024,2017-07-15,O,Rien à signaler.
MMB3025,2017-07-15,O,Légère variabilité observée.
MMB3026,2017-07-15,O,Légère variabilité observée.
MMB3027,2017-07-15,O,Condition normale pour la saison.
MMB3028,2017-07-15,O,Condition normale pour la saison.
MMB3029,2017-07-15,O,Rien à signaler.
MMB3030,2017-07-15,O,Rien à signaler.
MMB3031,2017-07-15,O,Rien à signaler.
MMB3032,2017-07-15,O,Condition normale pour la saison.
MMB3033,2017-07-15,O,Condition normale pour la saison.
MMB3034,2017-07-15,O,Condition normale pour la saison.
MMB3035,2017-07-15,O,Légère variabilité observée.
MMB3036,2017-07-15,O,Légère variabilité observée.
MMB3037,2017-07-15,O,Rien à signaler.
MMB3038,2017-07-15,O,Condition normale pour la saison.
MMB3039,2017-07-15,O,Condition normale pour la saison.
MMB3040,2017-07-15,O,Rien à signaler.
MMB3041,2017-07-15,O,Condition normale pour la saison.
MMB3042,2017-07-15,O,Condition normale pour la saison.
MMB3043,2017-07-15,O,Rien à signaler.
MMB3044,2017-07-15,O,Condition normale pour la saison.
MMB3045,2017-07-15,O,Rien à signaler.
MMB3046,2017-07-15,O,Légère variabilité observée.
MMB3047,2017-07-15,O,Rien à signaler.
MMB3048,2017-07-15,O,Rien à signaler.
MMB3049,2017-07-15,O,Rien à signaler.
MMB3050,2017-07-15,O,Condition normale pour la saison.
MMB3051,2017-07-15,O,Condition normale pour la saison.
MMB3052,2017-07-15,O,Légère variabilité observée.
MMB3053,2017-07-15,O,Condition normale pour la saison.
MMB3054,2017-07-15,O,Condition normale pour la saison.
MMB3055,2017-07-15,O,Condition normale pour la saison.
MMB3056,2017-07-15,O,Condition normale pour la saison.
MMB3057,2017-07-15,O,Légère variabilité observée.
MMB3058,2017-07-15,O,Légère variabilité observée.
MMB3059,2017-07-15,O,Condition normale pour la saison.
MMB3060,2017-07-15,O,Rien à signaler.
MMB3061,2017-07-15,O,Légère variabilité observée.
MMB3062,2017-07-15,O,Rien à signaler.
MMB3063,2017-07-15,O,Condition normale pour la saison.
MMB3064,2017-07-15,O,Condition normale pour la saison.
MMB3065,2017-07-15,O,Légère variabilité observée.
MMB3066,2017-07-15,O,Condition normale pour la saison.
MMB3067,2017-07-15,O,Condition normale pour la saison.
MMB3068,2017-07-15,O,Rien à signaler.
MMB3069,2017-07-15,O,Condition normale pour la saison.
MMB3070,2017-07-15,O,Rien à signaler.
MMB3071,2017-07-15,O,Condition normale pour la saison.
MMB3072,2017-07-15,O,Légère variabilité observée.
MMB3073,2017-07-15,O,Rien à signaler.
MMB3074,2017-07-15,O,Rien à signaler.
MMB3075,2017-07-15,O,Légère variabilité observée.
MMB3076,2017-07-15,O,Légère variabilité observée.
MMB3077,2017-07-15,O,Légère variabilité observée.
MMB3078,2017-07-15,O,Condition normale pour la saison.
MMB3079,2017-07-15,O,Condition normale pour la saison.
MMB3080,2017-07-15,O,Rien à signaler.
MMB3081,2017-07-15,O,Condition normale pour la saison.
MMB3082,2017-07-15,O,Condition normale pour la saison.
MMB3083,2017-07-15,O,Condition normale pour la saison.
MMB3084,2017-07-15,O,Condition normale pour la saison.
MMB3085,2017-07-15,O,Rien à signaler.
MMB3086,2017-07-15,O,Condition normale pour la saison.
MMB3087,2017-07-15,O,Rien à signaler.
MMB3088,2017-07-15,O,Rien à signaler.
MMB3089,2017-07-15,O,Rien à signaler.
MMB3090,2017-07-15,O,Condition normale pour la saison.
MMB3091,2017-07-15,O,Condition normale pour la saison.
MMB3092,2017-07-15,O,Condition normale pour la saison.
MMB3093,2017-07-15,O,Rien à signaler.
MMB3094,2017-07-15,O,Légère variabilité observée.
MMB3095,2017-07-15,O,Rien à signaler.
MMB3096,2017-07-15,O,Condition normale pour la saison.
MMB3097,2017-07-15,O,Condition normale pour la saison.
MMB3098,2017-07-15,O,Condition normale pour la saison.
MMB3099,2017-07-15,O,Condition normale pour la saison.
MMB3100,2017-07-15,O,Condition normale pour la saison.
MMB4001,2017-07-15,O,Légère variabilité observée.
MMB4002,2017-07-15,O,Condition normale pour la saison.
MMB4003,2017-07-15,O,Légère variabilité observée.
MMB4004,2017-07-15,O,Légère variabilité observée.
MMB4005,2017-07-15,O,Condition normale pour la saison.
MMB4006,2017-07-15,O,Condition normale pour la saison.
MMB4007,2017-07-15,O,Condition normale pour la saison.
MMB4008,2017-07-15,O,Rien à signaler.
MMB4009,2017-07-15,O,Légère variabilité observée.
MMB4010,2017-07-15,O,Rien à signaler.
MMB4011,2017-07-15,O,Condition normale pour la saison.
MMB4012,2017-07-15,O,Condition normale pour la saison.
MMB4013,2017-07-15,O,Légère variabilité observée.
MMB4014,2017-07-15,O,Condition normale pour la saison.
MMB4015,2017-07-15,O,Condition normale pour la saison.
MMB4016,2017-07-15,O,Condition normale pour la saison.
MMB4017,2017-07-15,O,Condition normale pour la saison.
MMB4018,2017-07-15,O,Condition normale pour la saison.
MMB4019,2017-07-15,O,Rien à signaler.
MMB4020,2017-07-15,O,Condition normale pour la saison.
MMB4021,2017-07-15,O,Rien à signaler.
MMB4022,2017-07-15,O,Rien à signaler.
MMB4023,2017-07-15,O,Condition normale pour la saison.
MMB4024,2017-07-15,O,Rien à signaler.
MMB4025,2017-07-15,O,Condition normale pour la saison.
MMB4026,2017-07-15,O,Condition normale pour la saison.
MMB4027,2017-07-15,O,Condition normale pour la saison.
MMB4028,2017-07-15,O,Légère variabilité observée.
MMB4029,2017-07-15,O,Condition normale pour la saison.
MMB4030,2017-07-15,O,Condition normale pour la saison.
MMB4031,2017-07-15,O,Condition normale pour la saison.
MMB4032,2017-07-15,O,Condition normale pour la saison.
MMB4033,2017-07-15,O,Condition normale pour la saison.
MMB4034,2017-07-15,O,Légère variabilité observée.
MMB4035,2017-07-15,O,Légère variabilité observée.
MMB4036,2017-07-15,O,Condition normale pour la saison.
MMB4037,2017-07-15,O,Condition normale pour la saison.
MMB4038,2017-07-15,O,Rien à signaler.
MMB4039,2017-07-15,O,Rien à signaler.
MMB4040,2017-07-15,O,Légère variabilité observée.
MMB4041,2017-07-15,O,Légère variabilité observée.
MMB4042,2017-07-15,O,Condition normale pour la saison.
MMB4043,2017-07-15,O,Rien à signaler.
MMB4044,2017-07-15,O,Légère variabilité observée.
MMB4045,2017-07-15,O,Rien à signaler.
MMB4046,2017-07-15,O,Rien à signaler.
MMB4047,2017-07-15,O,Condition normale pour la saison.
MMB4048,2017-07-15,O,Légère variabilité observée.
MMB4049,2017-07-15,O,Condition normale pour la saison.
MMB4050,2017-07-15,O,Rien à signaler.
MMB4051,2017-07-15,O,Condition normale pour la saison.
MMB4052,2017-07-15,O,Condition normale pour la saison.
MMB4053,2017-07-15,O,Condition normale pour la saison.
MMB4054,2017-07-15,O,Rien à signaler.
MMB4055,2017-07-15,O,Légère variabilité observée.
MMB4056,2017-07-15,O,Condition normale pour la saison.
MMB4057,2017-07-15,O,Condition normale pour la saison.
MMB4058,2017-07-15,O,Rien à signaler.
MMB4059,2017-07-15,O,Condition normale pour la saison.
MMB4060,2017-07-15,O,Rien à signaler.
MMB4061,2017-07-15,O,Condition normale pour la saison.
MMB4062,2017-07-15,O,Condition normale pour la saison.
MMB4063,2017-07-15,O,Condition normale pour la saison.
MMB4064,2017-07-15,O,Condition normale pour la saison.
MMB4065,2017-07-15,O,Rien à signaler.
MMB4066,2017-07-15,O,Légère variabilité observée.
MMB4067,2017-07-15,O,Légère variabilité observée.
MMB4068,2017-07-15,O,Condition normale pour la saison.
MMB4069,2017-07-15,O,Rien à signaler.
MMB4070,2017-07-15,O,Rien à signaler.
MMB4071,2017-07-15,O,Condition normale pour la saison.
MMB4072,2017-07-15,O,Condition normale pour la saison.
MMB4073,2017-07-15,O,Condition normale pour la saison.
MMB4074,2017-07-15,O,Légère variabilité observée.
MMB4075,2017-07-15,O,Condition normale pour la saison.
MMB4076,2017-07-15,O,Légère variabilité observée.
MMB4077,2017-07-15,O,Légère variabilité observée.
MMB4078,2017-07-15,O,Condition normale pour la saison.
MMB4079,2017-07-15,O,Condition normale pour la saison.
MMB4080,2017-07-15,O,Condition normale pour la saison.
MMB4081,2017-07-15,O,Condition normale pour la saison.
MMB4082,2017-07-15,O,Condition normale pour la saison.
MMB4083,2017-07-15,O,Légère variabilité observée.
MMB4084,2017-07-15,O,Légère variabilité observée.
MMB4085,2017-07-15,O,Condition normale pour la saison.
MMB4086,2017-07-15,O,Rien à signaler.
MMB4087,2017-07-15,O,Condition normale pour la saison.
MMB4088,2017-07-15,O,Rien à signaler.
MMB4089,2017-07-15,O,Rien à signaler.
MMB4090,2017-07-15,O,Légère variabilité observée.
MMB4091,2017-07-15,O,Condition normale pour la saison.
MMB4092,2017-07-15,O,Condition normale pour la saison.
MMB4093,2017-07-15,O,Condition normale pour la saison.
MMB4094,2017-07-15,O,Condition normale pour la saison.
MMB4095,2017-07-15,O,Condition normale pour la saison.
MMB4096,2017-07-15,O,Légère variabilité observée.
MMB4097,2017-07-15,O,Condition normale pour la saison.
MMB4098,2017-07-15,O,Légère variabilité observée.
MMB4099,2017-07-15,O,Légère variabilité observée.
MMB4100,2017-07-15,O,Condition normale pour la saison.
