site_id,zone_id,date,temp_min,temp_max,hum_min,hum_max,vent_min,vent_max,pres_min,pres_max,prec_tot,prec_nat,note
MF,B,2024-09-11,3,17,63,83,8,25,999,1045,,,Observation meteo du 2024-09-11 (automne)
MF,A,2024-09-12,2,15,69,75,6,26,958,1048,6,B,Observation meteo du 2024-09-12 (automne)
MF,B,2024-09-12,1,19,60,80,5,25,959,1027,,,Observation meteo du 2024-09-12 (automne)
MF,A,2024-09-13,3,19,65,80,9,28,983,1016,,,Observation meteo du 2024-09-13 (automne)
MF,B,2024-09-13,1,16,66,79,6,28,994,1036,18,P,Observation meteo du 2024-09-13 (automne)
MF,A,2024-09-14,5,16,68,75,8,30,968,1042,15,B,Observation meteo du 2024-09-14 (automne)
MF,B,2024-09-14,5,17,68,78,8,26,969,1045,,,Observation meteo du 2024-09-14 (automne)
MF,A,2024-09-15,3,20,70,83,10,25,990,1034,,,Observation meteo du 2024-09-15 (automne)
MF,B,2024-09-15,0,17,65,81,10,28,957,989,25,P,Observation meteo du 2024-09-15 (automne)
MF,A,2024-09-16,0,19,70,84,5,29,951,984,7,B,Observation meteo du 2024-09-16 (automne)
MF,B,2024-09-16,1,18,63,83,7,28,966,1028,,,Observation meteo du 2024-09-16 (automne)
MF,A,2024-09-17,5,15,64,85,7,27,950,968,,,Observation meteo du 2024-09-17 (automne)
MF,B,2024-09-17,2,19,64,78,7,29,984,1018,,,Observation meteo du 2024-09-17 (automne)
MF,A,2024-09-18,4,17,63,75,10,28,988,1023,,,Observation meteo du 2024-09-18 (automne)
MF,B,2024-09-18,5,19,69,80,9,27,978,1045,14,P,Observation meteo du 2024-09-18 (automne)
MF,A,2024-09-19,5,18,70,77,9,28,960,1042,,,Observation meteo du 2024-09-19 (automne)
MF,B,2024-09-19,4,17,61,78,9,25,957,1036,,,Observation meteo du 2024-09-19 (automne)
MF,A,2024-09-20,0,18,65,79,5,28,956,1041,,,Observation meteo du 2024-09-20 (automne)
MF,B,2024-09-20,5,15,63,75,9,28,988,1013,5,P,Observation meteo du 2024-09-20 (automne)
MF,A,2024-09-21,1,15,65,77,9,30,974,991,,,Observation meteo du 2024-09-21 (automne)
MF,B,2024-09-21,0,18,63,79,10,28,996,1016,23,P,Observation meteo du 2024-09-21 (automne)
MF,A,2024-09-22,3,18,63,76,10,28,978,1050,8,P,Observation meteo du 2024-09-22 (automne)
MF,B,2024-09-22,0,15,64,83,6,30,962,1017,17,P,Observation meteo du 2024-09-22 (automne)
MF,A,2024-09-23,0,20,69,79,9,30,971,1027,19,P,Observation meteo du 2024-09-23 (automne)
MF,B,2024-09-23,5,20,64,76,7,26,961,1035,,,Observation meteo du 2024-09-23 (automne)
MF,A,2024-09-24,2,16,61,77,10,29,977,1011,,,Observation meteo du 2024-09-24 (automne)
MF,B,2024-09-24,0,18,61,81,6,29,997,1012,8,B,Observation meteo du 2024-09-24 (automne)
MF,A,2024-09-25,2,16,62,79,8,25,990,1017,,,Observation meteo du 2024-09-25 (automne)
MF,B,2024-09-25,0,19,61,83,9,29,993,1042,,,Observation meteo du 2024-09-25 (automne)
MF,A,2024-09-26,3,19,62,82,6,27,963,1026,,,Observation meteo du 2024-09-26 (automne)
MF,B,2024-09-26,2,19,65,85,5,28,995,1035,14,P,Observation meteo du 2024-09-26 (automne)
MF,A,2024-09-27,3,19,62,82,7,26,983,1015,,,Observation meteo du 2024-09-27 (automne)
MF,B,2024-09-27,5,15,65,76,5,28,954,1003,10,P,Observation meteo du 2024-09-27 (automne)
MF,A,2024-09-28,5,15,60,81,10,26,988,1040,28,P,Observation meteo du 2024-09-28 (automne)
MF,B,2024-09-28,2,15,63,81,7,25,979,992,,,Observation meteo du 2024-09-28 (automne)
MF,A,2024-09-29,4,16,67,78,10,26,995,1016,,,Observation meteo du 2024-09-29 (automne)
MF,B,2024-09-29,4,20,66,81,6,25,986,1014,,,Observation meteo du 2024-09-29 (automne)
MF,A,2024-09-30,2,20,67,81,9,25,968,990,10,P,Observation meteo du 2024-09-30 (automne)
MF,B,2024-09-30,1,17,70,83,5,25,983,1030,9,B,Observation meteo du 2024-09-30 (automne)
