temp_min,temp_max,hum_min,hum_max,prec_tot,prec_nat,vent_min,vent_max,pres_min,pres_max,date_eco,note,zone
-32,2,47,79,104,P,121,255,918,1072,2025-08-14,Observation automatique,VS
-36,34,34,97,196,P,52,253,987,988,2025-12-25,Observation automatique,VS
-22,5,8,98,196,G,100,256,1053,1003,2025-12-16,Observation automatique,VN
-27,15,44,50,123,G,118,200,953,969,2025-11-21,Observation automatique,VN
-25,16,34,99,105,N,40,188,1075,970,2025-10-01,Observation automatique,VN
-43,7,13,75,104,P,78,203,952,989,2025-12-17,Observation automatique,VS
-29,43,30,50,128,G,113,191,977,1051,2025-07-11,Observation automatique,VN
-8,22,7,61,430,P,109,262,970,1005,2025-10-10,Observation automatique,VS
-13,23,42,61,261,G,48,224,909,999,2025-11-04,Observation automatique,VN
-24,49,39,74,388,G,125,255,1096,934,2025-06-30,Observation automatique,VN
-8,3,40,81,211,G,137,158,1047,1017,2025-12-28,Observation automatique,VN
-31,37,39,87,352,G,67,270,1085,937,2025-09-15,Observation automatique,VS
-21,28,13,63,447,N,71,183,958,1078,2025-12-09,Observation automatique,VN
-34,39,44,72,161,N,31,154,908,921,2025-11-16,Observation automatique,VN
-17,29,31,59,419,N,58,151,988,1042,2025-07-05,Observation automatique,VN
-17,38,8,55,385,P,91,281,943,1009,2025-09-28,Observation automatique,VS
-45,5,11,56,422,N,129,255,965,971,2025-10-02,Observation automatique,VS
-49,12,43,81,374,P,55,297,1076,1100,2025-08-19,Observation automatique,VN
-47,7,5,71,159,P,135,201,951,1052,2025-07-16,Observation automatique,VS
-46,32,29,57,314,G,23,198,1024,1033,2025-11-07,Observation automatique,VS
-41,42,27,98,274,G,78,265,951,902,2025-10-25,Observation automatique,VS
-18,2,47,77,13,P,67,198,1051,933,2025-07-30,Observation automatique,VN
-31,18,42,58,158,P,66,172,967,1007,2025-06-05,Observation automatique,VS
-17,27,38,74,162,P,48,199,916,990,2025-12-04,Observation automatique,VS
-14,20,12,86,343,P,109,280,929,1037,2025-12-18,Observation automatique,VN
-42,22,25,94,283,N,139,300,928,1002,2025-08-05,Observation automatique,VS
-27,17,0,85,259,N,6,221,926,938,2025-10-10,Observation automatique,VN
-7,33,18,89,340,N,73,188,1031,957,2025-10-22,Observation automatique,VS
-5,9,19,90,2,N,38,274,1036,1042,2025-06-14,Observation automatique,VS
-30,44,17,62,34,N,104,270,1058,992,2025-12-15,Observation automatique,VS
-33,44,15,71,57,P,82,199,1021,938,2025-08-07,Observation automatique,VS
-43,3,2,94,454,P,73,286,1068,1038,2025-12-10,Observation automatique,VN
-5,18,18,92,32,G,123,241,904,1092,2025-08-20,Observation automatique,VN
-40,25,23,58,460,G,38,213,1067,914,2025-06-17,Observation automatique,VN
-10,42,12,85,246,G,110,244,1100,959,2025-08-16,Observation automatique,VN
-48,34,10,68,374,P,126,259,988,1096,2025-12-15,Observation automatique,VN
-14,13,17,79,468,G,24,255,1074,932,2025-11-02,Observation automatique,VN
-17,17,36,71,181,N,6,176,986,915,2025-07-04,Observation automatique,VN
-6,4,32,67,407,N,71,235,1006,1099,2025-07-26,Observation automatique,VS
-36,45,7,96,58,N,4,186,948,1084,2025-09-07,Observation automatique,VS
-2,17,32,64,293,P,149,222,936,1063,2025-07-20,Observation automatique,VN
-9,14,36,74,152,N,25,194,933,976,2025-06-18,Observation automatique,VN
-20,2,19,95,70,N,27,218,1040,984,2025-09-25,Observation automatique,VS
-33,38,35,92,145,G,25,253,968,1002,2025-12-26,Observation automatique,VN
-12,10,38,86,331,P,81,267,1058,1057,2025-09-11,Observation automatique,VN
-14,24,5,97,406,P,56,263,985,965,2025-09-09,Observation automatique,VS
-15,38,11,72,456,P,121,192,1011,965,2025-08-04,Observation automatique,VS
-16,10,26,88,70,P,117,215,1058,1003,2025-06-27,Observation automatique,VN
-22,3,33,99,431,G,62,180,913,989,2025-10-30,Observation automatique,VS
-1,1,4,77,337,N,59,208,1081,901,2025-06-20,Observation automatique,VS
-31,31,47,62,44,N,81,209,945,1075,2025-11-26,Observation automatique,VS
-20,43,13,52,389,P,24,285,944,1017,2025-09-17,Observation automatique,VN
-1,14,25,67,24,G,125,271,903,940,2025-09-09,Observation automatique,VN
-39,20,40,55,200,P,3,170,1064,1031,2025-11-12,Observation automatique,VS
-29,39,6,52,105,N,111,222,963,1061,2025-07-14,Observation automatique,VS
-35,12,35,86,235,N,26,300,922,1055,2025-08-17,Observation automatique,VN
-14,14,12,79,245,P,104,277,997,989,2025-10-01,Observation automatique,VS
-31,48,49,74,394,P,1,285,1100,901,2025-07-13,Observation automatique,VS
-20,30,46,95,172,P,105,260,965,1027,2025-12-19,Observation automatique,VS
-9,2,28,92,485,P,115,216,1010,1048,2025-10-17,Observation automatique,VS
-18,34,11,57,471,P,120,205,1049,1018,2025-09-13,Observation automatique,VN
-28,3,5,64,372,G,54,235,1048,905,2025-09-29,Observation automatique,VN
-48,47,22,59,424,G,145,180,1005,1030,2025-10-04,Observation automatique,VS
-5,36,40,86,478,G,35,180,935,980,2025-10-02,Observation automatique,VN
-26,36,24,59,413,P,150,184,1008,1039,2025-11-13,Observation automatique,VS
-14,30,25,89,408,N,19,247,981,1005,2025-12-02,Observation automatique,VS
