plant_id,date_decouverte
MCA7095,2025-08-22
MCA3138,2025-06-12
MCB6490,2025-07-05
MCC6467,2025-06-24
MCC5758,2025-06-10
MCB6878,2025-07-18
MCB3961,2025-06-26
MCB5200,2025-06-25
MCC7673,2025-07-16
MCB0148,2025-10-14
MCC4337,2025-08-24
MCB7124,2025-06-07
MCC6207,2025-07-19
MCC5431,2025-09-03
MCC1834,2025-07-08
MCB5333,2025-07-25
MCC6161,2025-06-06
MCA9206,2025-09-09
MCC6947,2025-10-03
MCB3999,2025-07-28
MCA6767,2025-10-05
MCB3743,2025-10-19
MCA6516,2025-09-02
MCA1161,2025-06-18
MCC7547,2025-09-12
MCA4213,2025-09-20
MCB2549,2025-07-21
MCC3591,2025-09-12
MCA5749,2025-09-07
MCB0144,2025-10-28
MCC3174,2025-09-15
MCA8034,2025-08-03
MCC8915,2025-08-28
MCC3469,2025-07-12
MCA7818,2025-06-15
MCA0726,2025-06-11
MCC8645,2025-07-30
MCC3287,2025-10-15
MCC8866,2025-08-17
MCA3081,2025-09-18
MCB6927,2025-07-15
MCC9589,2025-10-15
MCB1400,2025-08-13
MCC8313,2025-06-02
MCB4971,2025-09-30
MCA3997,2025-09-13
MCC9647,2025-07-10
MCB3845,2025-10-24
MCC3586,2025-06-11
MCA0705,2025-07-09
MCB0823,2025-07-26
MCA7157,2025-07-16
MCB0162,2025-08-22
MCB1458,2025-08-05
MCC8908,2025-10-16
MCB4211,2025-08-22
MCA5744,2025-08-14
MCB2928,2025-08-16
MCC1965,2025-09-15
MCB0521,2025-08-25
MCB5977,2025-08-06
MCA8583,2025-06-27
MCB9038,2025-10-23
MCB4750,2025-08-03
MCC3634,2025-07-29
MCB9484,2025-07-20
MCC3795,2025-09-23
MCA3325,2025-08-09
MCC3107,2025-08-31
MCC7303,2025-08-31
MCA3052,2025-07-17
MCA6259,2025-06-08
MCC4606,2025-09-28
MCC4020,2025-09-19
MCB2249,2025-09-29
MCA6840,2025-07-29
MCC3572,2025-10-13
MCA5059,2025-07-20
MCC1650,2025-09-03
MCA1429,2025-09-02
MCB2683,2025-06-11
MCB7355,2025-07-30
MCB1517,2025-06-29
MCB6382,2025-09-26
MCA8491,2025-08-03
MCC6900,2025-09-01
MCB0624,2025-06-21
MCB0554,2025-06-16
MCC3187,2025-09-13
MCC6359,2025-08-23
MCA2025,2025-06-26
MCB9537,2025-09-13
MCB1519,2025-07-08
MCC6017,2025-10-16
MCC1200,2025-10-09
MCA1626,2025-08-10
MCB5093,2025-10-28
MCA2089,2025-09-17
MCC0530,2025-09-25
MCC2980,2025-06-19
MCB2629,2025-07-29
MCA5867,2025-10-28
MCC3756,2025-07-08
MCA0237,2025-07-09
MCA6959,2025-08-22
MCC0331,2025-08-30
MCC6346,2025-09-07
MCA0371,2025-06-28
MCA0346,2025-06-09
MCC5876,2025-08-13
MCC1358,2025-07-24
MCB1168,2025-08-14
MCA1491,2025-07-19
MCB5781,2025-06-30
MCA6300,2025-09-22
MCB1355,2025-07-04
